LicenseNo,WIPlantNo,BusinessName,DBA,BusinessPhone,StreetAddress,City,StateZip,County,Municipality,GradeBProcessing1,GradeAPermitAuthorization,GeneralProcessing,SpecificProcessing,CheeseManufactured,VarianceStatus,VarianceDate
122931,55-308,"BelGioioso Cheese, Inc.","Belgioioso Cheese, Inc",(920) 863-2123,"7700 N Brown County Line Rd
",Pulaski,"WI, 54162",Oconto ,Town of Chase,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Membrane Processing, Pasteurizer - HTST, Raw Milk Cheese, Whey/Whey By Products","Asiago, Other, Parmesan and Reggiano, Romano, Spiced",,
214914,55-323,"BelGioioso Cheese, Inc.","Belgioioso Cheese, Inc.",(920) 863-2123,"N4056 Vine Rd
",Appleton,"WI, 54913",Outagamie ,Town of Freedom,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products","Mozzarella, Other",,
122971,55-365,"BelGioioso Cheese, Inc.",BelGioioso Cheese Inc,(920) 863-2123,"5312 Steve's Cheese Rd
",Denmark,"WI, 54208",Brown ,Town of New Denmark,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
258758,55-420,"BelGioioso Cheese, Inc.",BelGioioso Cheese Inc,(920) 863-2123,"4200 Main St
",Green Bay,"WI, 54311",Brown ,Town of Ledgeview,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cheese Processing, Cut/Wrap/Shred",,,
325535,55-421,"BelGioioso Cheese, Inc.",BelGioioso Cheese Inc. ,(920) 863-2123,"5911 County Road NN
",Denmark,"WI, 54208",Brown ,Town of New Denmark,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products","Mozzarella, Other",,
332137,55-533,"BelGioioso Cheese, Inc.",Belgioioso Cheese Inc.,(920) 863-2123,"W2400 County Road S
",Kaukauna,"WI, 54130",Outagamie ,Town of Freedom,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Membrane Processing, Raw Milk Cheese, Whey/Whey By Products",Parmesan and Reggiano,,
123063,55-910,"BelGioioso Cheese, Inc.",BelGioioso Cheese Inc. ,(920) 863-2123,"5810 County Road NN
",Denmark,"WI, 54208",Brown ,Town of Glenmore,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
123064,55-911,"BelGioioso Cheese, Inc.",BelGioioso Cheese Inc,(920) 863-2123,"5900 County Road NN
",Denmark,"WI, 54208",Brown ,Town of Glenmore,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products","Mozzarella, Other, Provolone",,
523136,55-1068,"BelGioioso Cheese, Inc.","BelGioioso Cheese, Inc.",(920) 863-2123,"5550 County Road R
",Denmark,"WI, 54208",Brown ,Town of New Denmark,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Sheep Milk","Affinage (Aging), Brine System, Cheese Processing, Pasteurizer - HTST, Whey/Whey By Products","Bleu, Gorgonzola, Other",,
123104,55-1639,"BelGioioso Cheese, Inc.","Belgioioso Cheese, Inc",(920) 863-2123,"4348 Brookside Dr
",Pulaski,"WI, 54162",Brown ,Town of Pittsfield,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Raw Milk Cheese","Other, Parmesan and Reggiano",,
508635,55-1013,Big Moe Ventures LLC,West's Hayward Dairy,(715) 634-2244,"15848 W 2nd St
",Hayward,"WI, 54843",Sawyer ,City of Hayward,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
331923,55-1023,Blakesville Creamery LLC,Blakesville Creamery ,(312) 909-6439,"820 Lake Dr
",Port Washington,"WI, 53074",Ozaukee ,Town of Port Washington,"Grade B Processing <= 1,000,000 lbs product per year",,"Goat Milk, Sheep Milk","Affinage (Aging), Cheese Processing, Pasteurizer - HTST","Hard, Semisoft, Soft Ripened",,
331342,55-5060,"Board of Regents, University of WI System (College of Ag & Life Sciences)",Center For Dairy Research,(608) 890-0967,"1605 Linden Dr
",Madison,"WI, 53706",Dane ,City of Madison,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk, Sheep Milk","Affinage (Aging), Aseptic or Canning, Brine System, Butter Processing, Cheese Processing, Condensary/Evap, Cottage Cheese, Cream, Cut/Wrap/Shred, Drying Operation, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Powder Mixing/Blending, Process Cheese, Raw Milk Cheese, Sour Cream, Whey/Whey By Products, Yogurt","Asiago, Bleu, Brick, Caciocavallo Siciliano, Cheddar, Colby, Cold Pack Cheese/Cheese Food, Cook (Koch), Cream Cheese, Edam, Gammelost, Gorgonzola, Gouda, Granular and Stirred Curd, Grated Cheese, Gruyere, Hard, High Moisture Jack, Limburger, Monterey/Monterey Jack, Mozzarella, Muenster (Munster), Neufchatel, Nuworld, Parmesan and Reggiano, Pasteurized Blended Cheese, Pasteurized Cheese Spread, Pasteurized Neufchatel Cheese Spread, Pasteurized Process Cheese/Cheese Food, Pasteurized Processed Cheese Spread, Provolone, Romano, Roquefort, Samsoe, Sap Sago, Semisoft, Skim Milk for Mfg., Soft Ripened, Spiced, Swiss and Emmentaler, Washed Curd and Soaked Curd",,
258162,55-1038,Brandls Cheese LLC,Belle Plaine Cheese,(715) 526-2789,"N3473 Wisconsin Ave
",Shawano,"WI, 54166",Shawano ,Town of Belle Plaine,"Grade B Processing <= 1,000,000 lbs product per year",,Retail Store,Cut/Wrap/Shred,,,
123116,55-1888,"Briess Industries, Inc.",,(920) 849-8215,"625 S Irish Rd
",Chilton,"WI, 53014",Calumet ,City of Chilton,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Condensary/Evap, Powder Mixing/Blending",,,
123024,55-523,"Brunkow Cheese of Wisconsin, Inc.","Brunkow Cheese of Wisconsin, Inc.",(608) 776-3716,"17975 County Road F
",Darlington,"WI, 53530",Lafayette ,Town of Fayette,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cheese Processing, Pasteurizer - HTST","Cheddar, Cold Pack Cheese/Cheese Food, Granular and Stirred Curd, Monterey/Monterey Jack, Pasteurized Cheese Spread, Semisoft, Soft Ripened, Washed Curd and Soaked Curd",,
304995,55-209,"Bruno Beef Strips, LLC",Bruno Beef Strips,(608) 558-5353,"2913 13th St
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
122924,55-298,Burnett Dairy Cooperative,Burnett Dairy,(715) 689-2468,"11631 State Road 70
",Grantsburg,"WI, 54840",Burnett ,Town of Wood River,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Condensary/Evap, Cut/Wrap/Shred, Membrane Processing, Pasteurizer - HTST, Powder Mixing/Blending, Whey/Whey By Products","Cheddar, Colby, Monterey/Monterey Jack, Mozzarella, Provolone",,
284263,55-1700,Burnett Dairy Cooperative,,(715) 689-2468,"126 State Road 128
",Wilson,"WI, 54027",Saint Croix ,Town of Cady,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Membrane Processing, Whey/Whey By Products","Cheddar, Colby, Gouda, Monterey/Monterey Jack, Pasteurized Process Cheese/Cheese Food",,
122956,55-342,Capri Creamery LLC,Capri Cheese,(608) 604-2640,"26965 Dieter Hollow
",Blue River,"WI, 53518",Richland ,Town of Akan,"Grade B Processing <= 1,000,000 lbs product per year",,"Goat Milk, Sheep Milk","Affinage (Aging), Cut/Wrap/Shred",,,
208026,55-163,"Caprine Supreme, LLC",,(920) 209-9588,"W5646 State Road 54
",Black Creek,"WI, 54106",Outagamie ,Town of Black Creek,"Grade B Processing <= 1,000,000 lbs product per year",,"Custom Processing, Goat Milk","Cheese Processing, Pasteurizer - Batch",,,
319882,55-397,Carl Buddig And Company,Old Wisconsin Sausage,(920) 458-4304,"4036 Weeden Creek Rd
",Sheboygan,"WI, 53081",Sheboygan ,City of Sheboygan,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
156475,55-23,"Carr Valley Cheese Company, Inc.",Carr Valley Cheese Co Inc,(608) 448-4405,"1042 E State St
",Mauston,"WI, 53948",Juneau ,City of Mauston,"Grade B Processing <= 1,000,000 lbs product per year",,,Cut/Wrap/Shred,Other,,
198839,55-91,"Carr Valley Cheese Company, Inc.",Carr Valley Fennimore,(608) 448-4405,"1675 Lincoln Ave
",Fennimore,"WI, 53809",Grant ,City of Fennimore,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred",,,
282996,55-181,"Carr Valley Cheese Company, Inc.",Carr Valley Cheese - Mazomanie,(608) 448-4405,"428 Wall St
",Mazomanie,"WI, 53560",Dane ,Village of Mazomanie,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
307310,55-218,"Carr Valley Cheese Company, Inc.",Carr Valley Cheese,(608) 448-4405,"420 Broadway
",Wisconsin Dells,"WI, 53965",Columbia ,City of Wisconsin Dells,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
248450,55-379,"Carr Valley Cheese Company, Inc.",Carr Valley Portage,(608) 448-4405,"110 E Oneida St
",Portage,"WI, 53901",Columbia ,City of Portage,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
544553,55-1177,"Carr Valley Cheese Company, Inc.",Carr Valley Cheese Co Inc,(608) 448-4405,"1006 Gateway Ave
",Mauston,"WI, 53948",Juneau ,City of Mauston,"Grade B Processing <= 1,000,000 lbs product per year",,Retail Store,Cut/Wrap/Shred,,,
123106,55-1710,"Carr Valley Cheese Company, Inc.",Carr Valley Cheese Co Inc. - La Valle,(608) 448-4405,"S3797 County Road G
",La Valle,"WI, 53941",Sauk ,Town of Ironton,"Grade B Processing > 1,000,000 lbs product per year",,"Goat Milk, Sheep Milk",Cheese Processing,"Cheddar, Colby, Monterey/Monterey Jack, Washed Curd and Soaked Curd",,
201386,55-8980,"Carr Valley Cheese Company, Inc.",Carr Valley Cheese - Sauk City,(608) 448-4405,"807 Phillips Blvd
",Sauk City,"WI, 53583",Sauk ,Village of Sauk City,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
123006,55-472,"Cedar Crest Specialties, Inc.",Cedar Crest Ice Cream,(262) 546-5703,"2000 S 10th St
",Manitowoc,"WI, 54220",Manitowoc ,City of Manitowoc,"Grade B Processing > 1,000,000 lbs product per year",,"Goat Milk, Retail Store","Frozen Dairy Products, Pasteurizer - Batch",,,
123040,55-671,"Cedar Grove Cheese, Inc.",Cedar Grove Cheese Inc,(608) 546-5284,"E5904 Mill Rd
",Plain,"WI, 53577",Sauk ,Town of Franklin,"Grade B Processing > 1,000,000 lbs product per year",Grade A Transfer Station,"Bovine Milk, Custom Processing, Goat Milk, Sheep Milk","Cheese Processing, Cut/Wrap/Shred","Cheddar, Colby, Gouda, Hard, Monterey/Monterey Jack, Mozzarella, Muenster (Munster), Other, Washed Curd and Soaked Curd",,
224584,55-601,"Cedar Valley Cheese Store, LLC",Cedar Valley Cheese Store,(920) 994-9500,"W3115 Jay Rd
",Belgium,"WI, 53004",Ozaukee ,Town of Fredonia,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
331347,55-604,"Cedar Valley Cheese, Inc.","Cedar Valley Cheese, Inc.",(920) 994-4415,"N6977 State Hwy 57
",Belgium,"WI, 53004",Ozaukee ,Town of Fredonia,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
123044,55-704,"Cedar Valley Cheese, Inc.",Cedar Valley Cheese Inc,(920) 994-4415,"W3111 Jay Rd
",Belgium,"WI, 53004",Ozaukee ,Town of Fredonia,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Cream, Cut/Wrap/Shred","Mozzarella, Provolone",,
531002,55-1715,Cesar's Cheese LLC,Cesar's Cheese,(608) 459-5419,"138 W Bruce St
",Milwaukee,"WI, 53204",Milwaukee ,City of Milwaukee,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Pasteurizer - HHST","Brick, Cheddar, Colby, Gouda, Granular and Stirred Curd, Mozzarella, Other",,
157293,55-5,Chalet Cheese Cooperative,Chalet Cheese Cooperative,(608) 325-4343,"W6805 Deppler Rd
",Monroe,"WI, 53566",Green ,Town of Clarno,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cream, Pasteurizer - HTST, Whey/Whey By Products",Swiss and Emmentaler,,
122876,55-160,Chalet Cheese Cooperative,,(608) 325-4343,"N4858 County Road N
",Monroe,"WI, 53566",Green ,Town of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cream, Pasteurizer - HTST, Whey/Whey By Products","Brick, Gouda, Limburger, Swiss and Emmentaler",,
327175,55-431,Cheese Louise Inc.,,(608) 293-1621,"2971 11th Ave
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
293611,55-98,"Cheese Mart, Inc.",Wisconsin Cheese Mart,(414) 272-3544,"1220 E Meinecke St
",Milwaukee,"WI, 53212",Milwaukee ,City of Milwaukee,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
123150,55-9015,Cheese Pirates LLC,Cheese Pirates LLC,(608) 523-1430,"710 Blake St
",Blanchardville,"WI, 53516",Lafayette ,Village of Blanchardville,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
123005,55-470,Cheese Pleasers Inc.,,(715) 335-6750,"5364 Glennville Rd
",Bancroft,"WI, 54921",Portage ,Town of Pine Grove,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
203431,55-476,"Chocolate Shoppe Ice Cream Company, Inc.",Chocolate Shoppe Ice Cream,(608) 443-1807,"2221 Daniels St
",Madison,"WI, 53718",Dane ,City of Madison,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Frozen Dairy Products, Pasteurizer - HTST",,,
123049,55-749,"Colony Brands, Inc",,(608) 324-6061,"481 17th Ave
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,Cold Pack Cheese/Cheese Food,,
122785,55-10,"ConAgra Brands, Inc.",Conagra Grocery Products Co.,(715) 232-0122,"104 River Rd W
",Menomonie,"WI, 54751",Dunn ,City of Menomonie,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station","ACaSS, Bovine Milk","Condensary/Evap, Powder Mixing/Blending",,,
122831,55-75,Cooperative Regions of Organic Producer Pools,Organic Valley Chaseburg,(608) 625-7311,"203 S Main St
",Chaseburg,"WI, 54621",Vernon ,Village of Chaseburg,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Butter Processing, Condensary/Evap, Pasteurizer - HTST",,,
322306,55-416,Cooperative Regions of Organic Producer Pools,Organic  Valley,(608) 625-7311,"440 Organic Dr
",Cashton,"WI, 54619",Monroe ,Town of Portland,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,Other,,
326657,55-441,"Country Fresh Products, LLC","Country Fresh Products, LLC",(715) 359-1311,"9902 Weston Ave
",Weston,"WI, 54476",Marathon ,Village of Weston,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
329387,55-467,"Crank & Dasher, LLC",Crank and Dasher,(218) 343-0734,"1423 N 8th St
",Superior,"WI, 54880",Douglas ,City of Superior,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
122794,55-22,"Crave Brothers Farmstead Cheese, L.L.C.","Crave Brothers Farmstead Cheese, LLC",(920) 478-4887,"W11555 Torpy Rd
",Waterloo,"WI, 53594",Dodge ,Town of Portland,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Cream, Membrane Processing, Whey/Whey By Products",Mozzarella,,
256477,55-173,"Create-A-Pack Foods, Inc.",,(262) 567-6069 x226,"1730 Executive Dr
",Oconomowoc,"WI, 53066",Waukesha ,City of Oconomowoc,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,Pasteurized Process Cheese/Cheese Food,,
540796,55-1465,"Create-A-Pack Foods, Inc.","Create-A-Pack Foods, Inc",(262) 567-6069 x226,"W1344 Industrial Dr
",Ixonia,"WI, 53036",Jefferson ,Town of Ixonia,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Butter Processing,,,
122985,55-396,"CTL Foods, Inc.",,(715) 962-3121,"507 Pine St
",Colfax,"WI, 54730",Dunn ,Village of Colfax,"Grade B Processing <= 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Powder Mixing/Blending,,,
193402,55-9019,DairiConcepts L.P.,DairiConcepts LP,(715) 683-2513,"W888 Chili Rd
",Chili,"WI, 54420",Clark ,Town of Fremont,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,"Parmesan and Reggiano, Romano",,
122822,55-59,"Dairiconcepts, Limited Partnership.",Dairiconcepts LP,(715) 975-0150,"832 E Arthur Ave
",Bruce,"WI, 54819",Rusk ,Village of Bruce,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Drying Operation, Pasteurizer - HTST, Powder Mixing/Blending",,,
