Record ID,State,Plant Code / License ID,Company / Licensee,Site Name,City,County,Address,License / Permit Type,Product Hint,Candidate Category,Priority,Confidence,Review Status,Source System,Source Date,Source URL,Source Evidence,Review Notes,Existing Atlas Check
IA-19-0296,IA,19-0296,"Associated Milk Producers, Inc.","Associated Milk Producers, Inc.",Sanborn,O'Brien,,Manufacturing Plant,Manufacturing,Iowa licensed dairy plant first-page capture,Medium,Medium-High,import_after_dedupe,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state.,Not checked against app export
IA-19-0602,IA,19-0602,Bellevue Dairy Products,Bellevue Dairy Products,Bellevue,Jackson,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0031,IA,19-0031,Berry Global,Berry Global,Bettendorf,Scott,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0320,IA,19-0320,Berry Global,Berry Global,Peosta,Dubuque,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0475,IA,19-0475,Berry Global,Berry Global,Muscatine,Muscatine,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0080,IA,19-0080,Blue Diamond Tank & Truck Wash,Blue Diamond Tank & Truck Wash,Le Mars,Plymouth,,Grade A Wash Station,Wash station,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0621,IA,19-0621,Camp Creek Organic Produce,Camp Creek Organic Produce,Kalona,Washington,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0420,IA,19-0420,Chesterman Company,Chesterman Company,Sioux City,Woodbury,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0211,IA,19-0211,Cinnamon Ridge Farms,Cinnamon Ridge Farms,Donahue,Scott,,Manufacturing Plant,Manufacturing,Iowa licensed dairy plant first-page capture,Medium,Medium-High,import_after_dedupe,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state.,Not checked against app export
IA-19-0310,IA,19-0310,Coca Cola Atlantic,Coca Cola Atlantic,Ames,Story,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0441,IA,19-0441,Coca Cola Atlantic,Coca Cola Atlantic,Atlantic,Cass,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0639,IA,19-0639,Coca Cola Atlantic,Coca Cola Atlantic,Mason City,Cerro Gordo,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
MN-27-341,MN,27-341,"Agropur, Inc. - LeSueur","Agropur, Inc. - LeSueur",LeSueur,,,Manufacturing Grade Plant,Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-242,MN,27-242,"Agropur, Inc. - LeSueur Cheese","Agropur, Inc. - LeSueur Cheese",LeSueur,,,"Grade A Wash Station, Lab - CIS, Manufacturing Grade Plant",Cheese / farmstead; Manufacturing; Wash station; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-671,MN,27-671,All American Foods - Waseca,All American Foods - Waseca,Waseca,,,Grade A Plant,Grade A fluid / cultured / aseptic,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-160,MN,27-160,All American Foods Inc. - Mankato,All American Foods Inc. - Mankato,Mankato,,,Grade A Plant,Grade A fluid / cultured / aseptic,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-161,MN,27-161,All American Foods Inc. - Mankato,All American Foods Inc. - Mankato,Mankato,,,Grade A Plant,Grade A fluid / cultured / aseptic,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-936,MN,27-936,Altium Packaging LP,Altium Packaging LP,Moorhead,,,Single Service Packaging,Single-service packaging,Minnesota licensed/permitted dairy plant,Low,High,do_not_import_yet,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,"Official MN row, but this permit type may be outside atlas plant scope unless wash/receiving/packaging/marketing locations are intentionally included.",Not checked against app export
MN-27-721,MN,27-721,AmTech Ingredients Inc.,AmTech Ingredients Inc.,Albert Lea,,,Manufacturing Grade Plant,Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-284,MN,27-284,Amo Creamery LLC,Amo Creamery LLC,Heron Lake,,,"Grade A Plant, Lab - CIS",Ice cream / frozen dairy or creamery; Grade A fluid / cultured / aseptic; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-506,MN,27-506,"Associated Milk Producers, Inc. - Paynesville","Associated Milk Producers, Inc. - Paynesville",Paynesville,,,"Grade A Receiving Station, Grade A Wash Station, Lab - CIS, Lab - Industry, Manufacturing Grade Plant",Manufacturing; Wash station; Receiving / transfer; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-974,MN,27-974,Autumnwood Farm LLC,Autumnwood Farm LLC,Forest Lake,,,"Grade A Plant, Lab - Screening",Grade A fluid / cultured / aseptic; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-203,MN,27-203,Big Dipper Creamery LLC - Mounds View,Big Dipper Creamery LLC - Mounds View,Mounds View,,,Manufacturing,Ice cream / frozen dairy or creamery; Manufacturing,Minnesota licensed/permitted dairy plant,Medium,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-046,MN,27-046,Bongards - Norwood,Bongards - Norwood,Norwood,,,"Grade A Wash Station, Lab - CIS, Lab - Industry, Manufacturing Grade Plant",Manufacturing; Wash station; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-777,MN,27-777,Bongards - Perham,Bongards - Perham,Perham,,,"Grade A Wash Station, Lab - CIS, Lab - Industry, Drying, Manufacturing Grade Plant",Manufacturing; Dry dairy; Wash station; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-276,MN,27-276,Borealis Creamery LLC,Borealis Creamery LLC,Grand Rapids,,,Manufacturing Grade Plant,Ice cream / frozen dairy or creamery; Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-287,MN,27-287,Busy D's Caprines LLC,Busy D's Caprines LLC,Belle Plaine,,,"Manufacturing Grade Plant, Minnesota Farmstead Cheese",Cheese / farmstead; Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-244,MN,27-244,CJS LLC DBA H & M Production,CJS LLC DBA H & M Production,Plymouth,,,Manufacturing Grade Plant,Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-192,MN,27-192,Caledonia Haulers,Caledonia Haulers,Caledonia,,,"Grade A Receiving Station, Grade A Wash Station, Lab - CIS",Wash station; Receiving / transfer; Lab,Minnesota licensed/permitted dairy plant,Low,High,do_not_import_yet,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,"Official MN row, but this permit type may be outside atlas plant scope unless wash/receiving/packaging/marketing locations are intentionally included.",Not checked against app export
MN-27-270,MN,27-270,CannonBelles Cheese Inc.,CannonBelles Cheese Inc.,Cannon Falls,,,"Manufacturing Grade Plant, Manufacturing Grade Wash Station",Cheese / farmstead; Manufacturing; Wash station,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-195,MN,27-195,Capra Nera Creamery LLC,Capra Nera Creamery LLC,Altura,,,"Manufacturing Grade Plant, Minnesota Farmstead Cheese",Cheese / farmstead; Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-274,MN,27-274,ChunkChunk Ice Cream,ChunkChunk Ice Cream,Hopkins,,,Manufacturing,Ice cream / frozen dairy or creamery; Manufacturing,Minnesota licensed/permitted dairy plant,Medium,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-280,MN,27-280,Clover Meadow Cheese LLC,Clover Meadow Cheese LLC,Eden Valley,,,Minnesota Farmstead Cheese,Cheese / farmstead,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-306,MN,27-306,Compass Rose - Production Facility,Compass Rose - Production Facility,Heron Lake,,,Manufacturing Grade Plant,Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-303,MN,27-303,Compass Rose Creamery LLC,Compass Rose Creamery LLC,Sleepy Eye,,,Manufacturing Grade Plant,Ice cream / frozen dairy or creamery; Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-100,MN,27-100,Concept Processing LLC,Concept Processing LLC,Melrose,,,"Grade A Plant, Lab - Screening, Manufacturing Grade Plant, Manufacturing Grade Wash Station",Grade A fluid / cultured / aseptic; Manufacturing; Wash station; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-935,MN,27-935,Dahl Tech,Dahl Tech,Stillwater,,,Grade A Single Service,Single-service packaging,Minnesota licensed/permitted dairy plant,Low,High,do_not_import_yet,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,"Official MN row, but this permit type may be outside atlas plant scope unless wash/receiving/packaging/marketing locations are intentionally included.",Not checked against app export
MN-27-197,MN,27-197,Dairiconcepts LP - Zumbrota,Dairiconcepts LP - Zumbrota,Zumbrota,,,"Grade A Wash Station, Lab - CIS, Manufacturing Grade Plant",Manufacturing; Wash station; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-949,MN,27-949,Dairiconcepts LP. - Dalbo,Dairiconcepts LP. - Dalbo,Dalbo,,,Manufacturing Grade Plant,Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-484,MN,27-484,Dairy Farmers of America - Winthrop,Dairy Farmers of America - Winthrop,Winthrop,,,Manufacturing Grade Plant,Manufacturing,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-925,MN,27-925,Donnay Dairy,Donnay Dairy,Kimball,,,"Lab - Screening, Manufacturing Grade Plant, Minnesota Farmstead Cheese",Cheese / farmstead; Manufacturing; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-180,MN,27-180,East Side Jersey Dairy Inc.,East Side Jersey Dairy Inc.,Woodbury,,,"Grade A Plant, Grade A Single Service, Lab - CIS",Grade A fluid / cultured / aseptic; Single-service packaging; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-701,MN,27-701,Eichten's Hidden Acres LLC,Eichten's Hidden Acres LLC,Center City,,,"Lab - Screening, Manufacturing Grade Plant",Manufacturing; Lab,Minnesota licensed/permitted dairy plant,High,High,import_after_dedupe,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,Official MN licensed/permitted dairy plant row; dedupe against existing federal IMS/USDA codes before import.,Not checked against app export
MN-27-581,MN,27-581,Elba Coop Creamery,Elba Coop Creamery,Elba,,,Dairy license candidate,Ice cream / frozen dairy or creamery,Minnesota licensed/permitted dairy plant,Low,High,do_not_import_yet,Minnesota Department of Agriculture,Updated weekly (source states),https://www.mda.state.mn.us/minnesotadairyplants,Source page states it is a weekly list of all licensed and permitted dairy plants in Minnesota.,"Official MN row, but this permit type may be outside atlas plant scope unless wash/receiving/packaging/marketing locations are intentionally included.",Not checked against app export
